image_name,abs_path,butterfly,cat,chicken,cow,dog,elephant,horse,sheep,spider,squirrel,split
OIP-bWMkeSCsz8HVrwovVbNiywHaIS.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/chicken/OIP-bWMkeSCsz8HVrwovVbNiywHaIS.jpeg,0,0,1,0,0,0,0,0,0,0,train
OIP-pzNSMyzRxzTgslEC8XVGHQHaE6.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/elephant/OIP-pzNSMyzRxzTgslEC8XVGHQHaE6.jpeg,0,0,0,0,0,1,0,0,0,0,train
OIP-P3gSEkn73iN7Kkt_TItUiAHaEu.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/spider/OIP-P3gSEkn73iN7Kkt_TItUiAHaEu.jpeg,0,0,0,0,0,0,0,0,1,0,train
OIP-tMJKaHKq_YpNzhuclkq2gQHaFj.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/dog/OIP-tMJKaHKq_YpNzhuclkq2gQHaFj.jpeg,0,0,0,0,1,0,0,0,0,0,train
OIP-IUE1SpGbTD25S1WcmznFYwHaJu.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/squirrel/OIP-IUE1SpGbTD25S1WcmznFYwHaJu.jpeg,0,0,0,0,0,0,0,0,0,1,train
OIP-Y2c2wNU6LTKEaYix0rQoKgHaE7.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/cow/OIP-Y2c2wNU6LTKEaYix0rQoKgHaE7.jpeg,0,0,0,1,0,0,0,0,0,0,train
OIP-5NLt6ysuPlqpfRbuDoeX7AHaFj.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/squirrel/OIP-5NLt6ysuPlqpfRbuDoeX7AHaFj.jpeg,0,0,0,0,0,0,0,0,0,1,train
OIP-_82Gy46U8XAWuoXiyps_iwHaE-.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/horse/OIP-_82Gy46U8XAWuoXiyps_iwHaE-.jpeg,0,0,0,0,0,0,1,0,0,0,train
OIP-aziaWfW-djV1zXZ8B7T-CQHaFj.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/butterfly/OIP-aziaWfW-djV1zXZ8B7T-CQHaFj.jpeg,1,0,0,0,0,0,0,0,0,0,train
OIP-QvPX_jrKzyosOA8cdyiUuQHaGw.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/sheep/OIP-QvPX_jrKzyosOA8cdyiUuQHaGw.jpeg,0,0,0,0,0,0,0,1,0,0,train
OIP-5OhdwZT0n14XqHpNTV8AAAHaEo.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/dog/OIP-5OhdwZT0n14XqHpNTV8AAAHaEo.jpeg,0,0,0,0,1,0,0,0,0,0,train
OIP-MIbgi7cZNGc6fEM5tWtS8gHaFj.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/chicken/OIP-MIbgi7cZNGc6fEM5tWtS8gHaFj.jpeg,0,0,1,0,0,0,0,0,0,0,train
OIP-9sqWbJDXLJbIZ6dcLINf7wHaE9.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/dog/OIP-9sqWbJDXLJbIZ6dcLINf7wHaE9.jpeg,0,0,0,0,1,0,0,0,0,0,train
1086.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/cat/1086.jpeg,0,1,0,0,0,0,0,0,0,0,train
OIP-l3WdA33viaIfIy_NCsvvFgHaE8.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/horse/OIP-l3WdA33viaIfIy_NCsvvFgHaE8.jpeg,0,0,0,0,0,0,1,0,0,0,train
OIP-va2J-BLCfLvln-hrUaWwJgAAAA.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/horse/OIP-va2J-BLCfLvln-hrUaWwJgAAAA.jpeg,0,0,0,0,0,0,1,0,0,0,train
OIP-fbOiwzDQsm5CJG8ywVqYYAHaE7.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/dog/OIP-fbOiwzDQsm5CJG8ywVqYYAHaE7.jpeg,0,0,0,0,1,0,0,0,0,0,train
OIP-SUx1DIcR-asaW0ivY8fJ1wHaFS.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/spider/OIP-SUx1DIcR-asaW0ivY8fJ1wHaFS.jpeg,0,0,0,0,0,0,0,0,1,0,train
OIP-IVy8yXozZ4pk9GaWF9z1rAHaFj.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/chicken/OIP-IVy8yXozZ4pk9GaWF9z1rAHaFj.jpeg,0,0,1,0,0,0,0,0,0,0,train
OIP-rgn7mN0JG2bX6fDr1AyABAHaFi.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/spider/OIP-rgn7mN0JG2bX6fDr1AyABAHaFi.jpeg,0,0,0,0,0,0,0,0,1,0,train
OIP-vj3GiFW6qI-g_csXUdF7AQHaE8.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/sheep/OIP-vj3GiFW6qI-g_csXUdF7AQHaE8.jpeg,0,0,0,0,0,0,0,1,0,0,train
OIP-6x6_3MWRz63fz12hnbg6pQAAAA.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/horse/OIP-6x6_3MWRz63fz12hnbg6pQAAAA.jpeg,0,0,0,0,0,0,1,0,0,0,train
OIP-Ne_CUBT2WyxoS2-MZ8EJYwHaFj.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/cow/OIP-Ne_CUBT2WyxoS2-MZ8EJYwHaFj.jpeg,0,0,0,1,0,0,0,0,0,0,train
OIP-4TXgDCKeTWVhvzu81qa2yAHaE6.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/spider/OIP-4TXgDCKeTWVhvzu81qa2yAHaE6.jpeg,0,0,0,0,0,0,0,0,1,0,train
OIP-IupPsDlsJ8wLykW1xb8IegHaGl.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/elephant/OIP-IupPsDlsJ8wLykW1xb8IegHaGl.jpeg,0,0,0,0,0,1,0,0,0,0,train
OIP-tEX8rvIDaxzi0UKMH-_IjQHaGO.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/horse/OIP-tEX8rvIDaxzi0UKMH-_IjQHaGO.jpeg,0,0,0,0,0,0,1,0,0,0,train
OIP-wtgNElQHU9FtH2YUI-VG4gHaE6.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/spider/OIP-wtgNElQHU9FtH2YUI-VG4gHaE6.jpeg,0,0,0,0,0,0,0,0,1,0,train
OIP-xKdmqmWDqVjMh77IdE4esgHaE6.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/squirrel/OIP-xKdmqmWDqVjMh77IdE4esgHaE6.jpeg,0,0,0,0,0,0,0,0,0,1,train
OIP-wbM_B7Ajiw9TQxcH-pMmvAHaF0.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/sheep/OIP-wbM_B7Ajiw9TQxcH-pMmvAHaF0.jpeg,0,0,0,0,0,0,0,1,0,0,train
OIP-Lyaqut4ShlYPykMgZ6BaCQHaJo.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/dog/OIP-Lyaqut4ShlYPykMgZ6BaCQHaJo.jpeg,0,0,0,0,1,0,0,0,0,0,train
OIP-sc_PN6vFuZeQcif7cNfhjgHaDf.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/sheep/OIP-sc_PN6vFuZeQcif7cNfhjgHaDf.jpeg,0,0,0,0,0,0,0,1,0,0,train
OIP-J6bzevO4dCD1Ug0cnt-ZsQHaGP.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/chicken/OIP-J6bzevO4dCD1Ug0cnt-ZsQHaGP.jpeg,0,0,1,0,0,0,0,0,0,0,train
1051.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/cat/1051.jpeg,0,1,0,0,0,0,0,0,0,0,train
OIP-WnROEOD4ZGM2ivN2M1Ja8AHaKi.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/dog/OIP-WnROEOD4ZGM2ivN2M1Ja8AHaKi.jpeg,0,0,0,0,1,0,0,0,0,0,train
OIP-ONo60yHYUmBZaU_TxmB3dQHaE8.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/elephant/OIP-ONo60yHYUmBZaU_TxmB3dQHaE8.jpeg,0,0,0,0,0,1,0,0,0,0,train
OIP-rXMOt-TMJ_80bYw08uhcxgHaF6.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/elephant/OIP-rXMOt-TMJ_80bYw08uhcxgHaF6.jpeg,0,0,0,0,0,1,0,0,0,0,train
OIP-oFQg19f3br83NCCdpwqFBgHaHN.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/chicken/OIP-oFQg19f3br83NCCdpwqFBgHaHN.jpeg,0,0,1,0,0,0,0,0,0,0,train
240_renamed.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/chicken/240_renamed.jpeg,0,0,1,0,0,0,0,0,0,0,train
OIP-rLK-rYdXFGKEdYktxyijVgHaHa.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/butterfly/OIP-rLK-rYdXFGKEdYktxyijVgHaHa.jpeg,1,0,0,0,0,0,0,0,0,0,train
592.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/cat/592.jpeg,0,1,0,0,0,0,0,0,0,0,train
1563.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/cat/1563.jpeg,0,1,0,0,0,0,0,0,0,0,train
OIP-b55QXxuwXAPXdamn43Sy_wHaEG.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/dog/OIP-b55QXxuwXAPXdamn43Sy_wHaEG.jpeg,0,0,0,0,1,0,0,0,0,0,train
OIP-Fynxi9mLMZ-KgB-2qiFaTwHaJQ.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/dog/OIP-Fynxi9mLMZ-KgB-2qiFaTwHaJQ.jpeg,0,0,0,0,1,0,0,0,0,0,train
OIP-0e_jC-QOtZcuTCPcy3BtRgHaJh.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/squirrel/OIP-0e_jC-QOtZcuTCPcy3BtRgHaJh.jpeg,0,0,0,0,0,0,0,0,0,1,train
OIP-vgLbi7iiZc2lZMaQyYFvUgHaLF.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/spider/OIP-vgLbi7iiZc2lZMaQyYFvUgHaLF.jpeg,0,0,0,0,0,0,0,0,1,0,train
OIP-eVwMdvA4V19QRYiYoll7tgHaFj.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/chicken/OIP-eVwMdvA4V19QRYiYoll7tgHaFj.jpeg,0,0,1,0,0,0,0,0,0,0,train
OIP-fB0F2y5LYpjCEj9gDFdC1QHaFk.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/horse/OIP-fB0F2y5LYpjCEj9gDFdC1QHaFk.jpeg,0,0,0,0,0,0,1,0,0,0,train
OIP-gWVNnwo-Eea7wKEsM7o7kgHaHn.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/horse/OIP-gWVNnwo-Eea7wKEsM7o7kgHaHn.jpeg,0,0,0,0,0,0,1,0,0,0,train
OIP-dCVs1i6uxqclUxdCNJ7PcwHaFN.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/spider/OIP-dCVs1i6uxqclUxdCNJ7PcwHaFN.jpeg,0,0,0,0,0,0,0,0,1,0,train
OIP-gwnyXhcDmJBDE78XWzT2qwHaFj.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/spider/OIP-gwnyXhcDmJBDE78XWzT2qwHaFj.jpeg,0,0,0,0,0,0,0,0,1,0,train
OIP-sKnBuR02v78x1lqNHII-bwHaFj.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/cow/OIP-sKnBuR02v78x1lqNHII-bwHaFj.jpeg,0,0,0,1,0,0,0,0,0,0,train
OIP-h-pgu8jxw53ovhTs6rHkQwAAAA.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/spider/OIP-h-pgu8jxw53ovhTs6rHkQwAAAA.jpeg,0,0,0,0,0,0,0,0,1,0,train
OIP-GV6axKmwE88WjjkZKJFNsAHaEK.jpeg,/home/ariya/workspace/datasets/animals10-dvc/images/train/squirrel/OIP-GV6axKmwE88WjjkZKJFNsAHaEK.jpeg,0,0,0,0,0,0,0,0,0,1,train
